District,Zone,Geographical Region,Development Region,Project_title,Sector,Amount_thousandsNPR
Khotang,Sagarmatha,Hill,Eastern,Fishery Development Program,Farm and Food Security,666.0
Khotang,Sagarmatha,Hill,Eastern,Crop Development Program,Farm and Food Security,1174.0
Khotang,Sagarmatha,Hill,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,780.0
Khotang,Sagarmatha,Hill,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,13332.0
Khotang,Sagarmatha,Hill,Eastern,Livestock Service Extension Program,Farm and Food Security,15367.0
Khotang,Sagarmatha,Hill,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,800.0
Khotang,Sagarmatha,Hill,Eastern,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,738.0
Khotang,Sagarmatha,Hill,Eastern,Veterinary Health Service Program,Farm and Food Security,291.0
Lalitpur,Bagmati,Hill,Central,Non-formal Education & National Literacy Campaign,Education,2177.3
Lalitpur,Bagmati,Hill,Central,School Sector Reform Program,Education,159325.0
Lalitpur,Bagmati,Hill,Central,Integrated District Health Program,"Health, Nutrition and Population",77105.0
Lalitpur,Bagmati,Hill,Central,Tuberculosis Control,"Health, Nutrition and Population",2286.0
Lalitpur,Bagmati,Hill,Central,Ayurveda Service Program,"Health, Nutrition and Population",10335.0
Lalitpur,Bagmati,Hill,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Lalitpur,Bagmati,Hill,Central,National Training Program,"Health, Nutrition and Population",150.0
Lalitpur,Bagmati,Hill,Central,National Forest Development & Management Program,Forest and Land Conservation,503.0
Lalitpur,Bagmati,Hill,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3166.7
Lalitpur,Bagmati,Hill,Central,District Soil Erosion Program,Forest and Land Conservation,12705.0
Lalitpur,Bagmati,Hill,Central,Botanical Study & Research Program,Forest and Land Conservation,3358.0
Lalitpur,Bagmati,Hill,Central,Botanical Conservation & Park Development Project,Forest and Land Conservation,3880.0
Lalitpur,Bagmati,Hill,Central,Nepal Trade Interpretation Strategy - Forestry,Forest and Land Conservation,1500.0
Lalitpur,Bagmati,Hill,Central,Agricultural Extension Program,Farm and Food Security,18200.0
Lalitpur,Bagmati,Hill,Central,Soil Test Service Program,Farm and Food Security,1325.0
Lalitpur,Bagmati,Hill,Central,Vocational Insect Development,Farm and Food Security,19872.0
Lalitpur,Bagmati,Hill,Central,Fishery Development Program,Farm and Food Security,285.0
Lalitpur,Bagmati,Hill,Central,Crop Development Program,Farm and Food Security,1431.0
Lalitpur,Bagmati,Hill,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,11846.0
Lalitpur,Bagmati,Hill,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,7431.0
Lalitpur,Bagmati,Hill,Central,Horiculture Development Program,Farm and Food Security,20101.0
Lalitpur,Bagmati,Hill,Central,Livestock Service Extension Program,Farm and Food Security,17788.0
Lalitpur,Bagmati,Hill,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1550.0
Lalitpur,Bagmati,Hill,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,7663.0
Lalitpur,Bagmati,Hill,Central,Veterinary Health Service Program,Farm and Food Security,834.0
Lamjung,Gandaki,Hill,Western,Non-formal Education & National Literacy Campaign,Education,2167.72
Lamjung,Gandaki,Hill,Western,School Sector Reform Program,Education,152840.0
Lamjung,Gandaki,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",96564.0
Lamjung,Gandaki,Hill,Western,Tuberculosis Control,"Health, Nutrition and Population",1932.0
Lamjung,Gandaki,Hill,Western,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Lamjung,Gandaki,Hill,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",5600.0
Lamjung,Gandaki,Hill,Western,National Training Program,"Health, Nutrition and Population",150.0
Lamjung,Gandaki,Hill,Western,National Forest Development & Management Program,Forest and Land Conservation,2912.0
Lamjung,Gandaki,Hill,Western,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2938.25
Lamjung,Gandaki,Hill,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2616.0
Lamjung,Gandaki,Hill,Western,District Soil Erosion Program,Forest and Land Conservation,10942.0
Lamjung,Gandaki,Hill,Western,Agricultural Extension Program,Farm and Food Security,19500.0
Lamjung,Gandaki,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,2595.0
Lamjung,Gandaki,Hill,Western,Soil Test Service Program,Farm and Food Security,1325.0
Lamjung,Gandaki,Hill,Western,Fishery Development Program,Farm and Food Security,675.0
Lamjung,Gandaki,Hill,Western,Crop Development Program,Farm and Food Security,1589.0
Lamjung,Gandaki,Hill,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,4240.0
Lamjung,Gandaki,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,8166.0
Lamjung,Gandaki,Hill,Western,Horiculture Development Program,Farm and Food Security,4347.0
Lamjung,Gandaki,Hill,Western,Crop Protection and Pesticide Development,Farm and Food Security,211.0
Lamjung,Gandaki,Hill,Western,Livestock Service Extension Program,Farm and Food Security,18384.0
Lamjung,Gandaki,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1200.0
Lamjung,Gandaki,Hill,Western,Community Livestock Development Project,Farm and Food Security,3348.0
Lamjung,Gandaki,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,456.0
Lamjung,Gandaki,Hill,Western,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,1017.0
Lamjung,Gandaki,Hill,Western,Veterinary Health Service Program,Farm and Food Security,373.0
Mahottari,Janakpur,Terai,Central,Non-formal Education & National Literacy Campaign,Education,15748.01
Mahottari,Janakpur,Terai,Central,School Sector Reform Program,Education,288713.0
Mahottari,Janakpur,Terai,Central,Integrated District Health Program,"Health, Nutrition and Population",111798.0
Mahottari,Janakpur,Terai,Central,Tuberculosis Control,"Health, Nutrition and Population",2248.0
Mahottari,Janakpur,Terai,Central,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Mahottari,Janakpur,Terai,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Mahottari,Janakpur,Terai,Central,National Training Program,"Health, Nutrition and Population",150.0
Mahottari,Janakpur,Terai,Central,National Forest Development & Management Program,Forest and Land Conservation,524.0
Mahottari,Janakpur,Terai,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2503.0
Mahottari,Janakpur,Terai,Central,District Soil Erosion Program,Forest and Land Conservation,7356.0
Mahottari,Janakpur,Terai,Central,Multi Stakeholders Forestry Program,Forest and Land Conservation,16581.0
Mahottari,Janakpur,Terai,Central,Agricultural Extension Program,Farm and Food Security,21600.0
Mahottari,Janakpur,Terai,Central,Fishery Development Program,Farm and Food Security,3066.0
Mahottari,Janakpur,Terai,Central,Crop Development Program,Farm and Food Security,737.0
Mahottari,Janakpur,Terai,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2695.0
Mahottari,Janakpur,Terai,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,4288.0
Mahottari,Janakpur,Terai,Central,Horiculture Development Program,Farm and Food Security,725.0
Mahottari,Janakpur,Terai,Central,Crop Protection and Pesticide Development,Farm and Food Security,3444.0
Mahottari,Janakpur,Terai,Central,Livestock Service Extension Program,Farm and Food Security,20338.0
Mahottari,Janakpur,Terai,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1100.0
Mahottari,Janakpur,Terai,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3992.0
Mahottari,Janakpur,Terai,Central,Veterinary Health Service Program,Farm and Food Security,320.0
Makwanpur,Narayani,Hill,Central,Non-formal Education & National Literacy Campaign,Education,27012.13
Makwanpur,Narayani,Hill,Central,School Sector Reform Program,Education,263766.0
Makwanpur,Narayani,Hill,Central,Integrated District Health Program,"Health, Nutrition and Population",74028.0
Makwanpur,Narayani,Hill,Central,Tuberculosis Control,"Health, Nutrition and Population",2560.0
Makwanpur,Narayani,Hill,Central,Ayurveda Service Program,"Health, Nutrition and Population",2865.0
Makwanpur,Narayani,Hill,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",5900.0
Makwanpur,Narayani,Hill,Central,National Training Program,"Health, Nutrition and Population",150.0
Makwanpur,Narayani,Hill,Central,National Forest Development & Management Program,Forest and Land Conservation,4380.0
Makwanpur,Narayani,Hill,Central,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2954.0
Makwanpur,Narayani,Hill,Central,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,769.0
Makwanpur,Narayani,Hill,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3122.0
Makwanpur,Narayani,Hill,Central,District Soil Erosion Program,Forest and Land Conservation,9173.0
Makwanpur,Narayani,Hill,Central,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,1604.0
Makwanpur,Narayani,Hill,Central,Botanical Study & Research Program,Forest and Land Conservation,675.0
Makwanpur,Narayani,Hill,Central,Botanical Conservation & Park Development Project,Forest and Land Conservation,984.0
Makwanpur,Narayani,Hill,Central,Botanical Utilization & Marketing Program,Forest and Land Conservation,1116.0
Makwanpur,Narayani,Hill,Central,Nepal Trade Interpretation Strategy - Forestry,Forest and Land Conservation,950.0
Makwanpur,Narayani,Hill,Central,Multi Stakeholders Forestry Program,Forest and Land Conservation,2400.0
Makwanpur,Narayani,Hill,Central,Agricultural Extension Program,Farm and Food Security,19400.0
Makwanpur,Narayani,Hill,Central,Soil Test Service Program,Farm and Food Security,9491.0
Makwanpur,Narayani,Hill,Central,Fishery Development Program,Farm and Food Security,25870.0
Makwanpur,Narayani,Hill,Central,Crop Development Program,Farm and Food Security,13651.0
Makwanpur,Narayani,Hill,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1453.0
Makwanpur,Narayani,Hill,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5348.0
Makwanpur,Narayani,Hill,Central,Horiculture Development Program,Farm and Food Security,9579.0
Makwanpur,Narayani,Hill,Central,Livestock Service Extension Program,Farm and Food Security,17375.0
Makwanpur,Narayani,Hill,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1550.0
Makwanpur,Narayani,Hill,Central,Livestock Development Farms,Farm and Food Security,27332.0
Makwanpur,Narayani,Hill,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3864.0
Makwanpur,Narayani,Hill,Central,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,1178.0
Makwanpur,Narayani,Hill,Central,Veterinary Health Service Program,Farm and Food Security,756.0
Makwanpur,Narayani,Hill,Central,Food Nutrition and Technology Program,Farm and Food Security,11208.0
Manang,Gandaki,Mountain,Western,Non-formal Education & National Literacy Campaign,Education,922.43
Manang,Gandaki,Mountain,Western,School Sector Reform Program,Education,15582.0
Manang,Gandaki,Mountain,Western,Integrated District Health Program,"Health, Nutrition and Population",45594.9
Manang,Gandaki,Mountain,Western,Tuberculosis Control,"Health, Nutrition and Population",1587.0
Manang,Gandaki,Mountain,Western,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Manang,Gandaki,Mountain,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",3400.0
Manang,Gandaki,Mountain,Western,National Training Program,"Health, Nutrition and Population",140.0
Manang,Gandaki,Mountain,Western,National Forest Development & Management Program,Forest and Land Conservation,170.0
Manang,Gandaki,Mountain,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,1107.0
Manang,Gandaki,Mountain,Western,Agricultural Extension Program,Farm and Food Security,15700.0
Manang,Gandaki,Mountain,Western,Integrated Water Resource Management Project,Farm and Food Security,1020.0
Manang,Gandaki,Mountain,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,520.0
Manang,Gandaki,Mountain,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,2616.0
Manang,Gandaki,Mountain,Western,Horiculture Development Program,Farm and Food Security,1790.0
Manang,Gandaki,Mountain,Western,Livestock Service Extension Program,Farm and Food Security,14869.0
Manang,Gandaki,Mountain,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,300.0
Manang,Gandaki,Mountain,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,868.0
Manang,Gandaki,Mountain,Western,Veterinary Health Service Program,Farm and Food Security,161.0
Morang,Kosi,Terai,Eastern,Non-formal Education & National Literacy Campaign,Education,15960.21
Morang,Kosi,Terai,Eastern,School Sector Reform Program,Education,397790.0
Morang,Kosi,Terai,Eastern,Integrated District Health Program,"Health, Nutrition and Population",184413.0
Morang,Kosi,Terai,Eastern,Tuberculosis Control,"Health, Nutrition and Population",2571.0
Morang,Kosi,Terai,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",4035.0
Morang,Kosi,Terai,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Morang,Kosi,Terai,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Morang,Kosi,Terai,Eastern,National Forest Development & Management Program,Forest and Land Conservation,2696.0
Morang,Kosi,Terai,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,4407.0
Morang,Kosi,Terai,Eastern,Agricultural Extension Program,Farm and Food Security,21000.0
Morang,Kosi,Terai,Eastern,Fishery Development Program,Farm and Food Security,3169.0
Morang,Kosi,Terai,Eastern,Crop Development Program,Farm and Food Security,1224.0
Morang,Kosi,Terai,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2868.0
Morang,Kosi,Terai,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6548.0
Morang,Kosi,Terai,Eastern,Crop Protection and Pesticide Development,Farm and Food Security,19175.0
Morang,Kosi,Terai,Eastern,Livestock Service Extension Program,Farm and Food Security,22724.0
Morang,Kosi,Terai,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,1400.0
Morang,Kosi,Terai,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,4209.0
Morang,Kosi,Terai,Eastern,Veterinary Health Service Program,Farm and Food Security,14528.0
Morang,Kosi,Terai,Eastern,Food Nutrition and Technology Program,Farm and Food Security,22562.0
Mugu,Karnali,Mountain,Mid-Western,Non-formal Education & National Literacy Campaign,Education,1871.32
Mugu,Karnali,Mountain,Mid-Western,School Sector Reform Program,Education,68844.0
Mugu,Karnali,Mountain,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",77334.0
Mugu,Karnali,Mountain,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",1844.0
Mugu,Karnali,Mountain,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",2665.0
Mugu,Karnali,Mountain,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",3500.0
Mugu,Karnali,Mountain,Mid-Western,National Training Program,"Health, Nutrition and Population",140.0
Mugu,Karnali,Mountain,Mid-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,3055.0
Mugu,Karnali,Mountain,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,170.0
Mugu,Karnali,Mountain,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2359.0
Mugu,Karnali,Mountain,Mid-Western,Wildlife Conservation Project,Forest and Land Conservation,13510.0
Mugu,Karnali,Mountain,Mid-Western,Agricultural Extension Program,Farm and Food Security,15200.0
Mugu,Karnali,Mountain,Mid-Western,Karnali Zone Agriculture Development Project,Farm and Food Security,7000.0
Mugu,Karnali,Mountain,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,700.0
Mugu,Karnali,Mountain,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6281.0
Mugu,Karnali,Mountain,Mid-Western,Horiculture Development Program,Farm and Food Security,3505.0
Mugu,Karnali,Mountain,Mid-Western,Livestock Service Extension Program,Farm and Food Security,15775.0
Mugu,Karnali,Mountain,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,300.0
Mugu,Karnali,Mountain,Mid-Western,Veterinary Health Service Program,Farm and Food Security,161.0
Mustang,Dhawalagiri,Mountain,Western,Non-formal Education & National Literacy Campaign,Education,645.36
Mustang,Dhawalagiri,Mountain,Western,School Sector Reform Program,Education,29989.0
Mustang,Dhawalagiri,Mountain,Western,Integrated District Health Program,"Health, Nutrition and Population",33372.2
Mustang,Dhawalagiri,Mountain,Western,Tuberculosis Control,"Health, Nutrition and Population",1690.0
Mustang,Dhawalagiri,Mountain,Western,Ayurveda Service Program,"Health, Nutrition and Population",2865.0
Mustang,Dhawalagiri,Mountain,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",3400.0
Mustang,Dhawalagiri,Mountain,Western,National Training Program,"Health, Nutrition and Population",140.0
Mustang,Dhawalagiri,Mountain,Western,District Soil Erosion Program,Forest and Land Conservation,9548.0
Mustang,Dhawalagiri,Mountain,Western,Agricultural Extension Program,Farm and Food Security,16700.0
Mustang,Dhawalagiri,Mountain,Western,Karnali Zone Agriculture Development Project,Farm and Food Security,2500.0
Mustang,Dhawalagiri,Mountain,Western,Integrated Water Resource Management Project,Farm and Food Security,1106.0
Mustang,Dhawalagiri,Mountain,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,3788.0
Mustang,Dhawalagiri,Mountain,Western,Horiculture Development Program,Farm and Food Security,17302.0
Mustang,Dhawalagiri,Mountain,Western,Crop Protection and Pesticide Development,Farm and Food Security,2088.0
Mustang,Dhawalagiri,Mountain,Western,Livestock Service Extension Program,Farm and Food Security,14866.0
Mustang,Dhawalagiri,Mountain,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,200.0
Mustang,Dhawalagiri,Mountain,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,868.0
Mustang,Dhawalagiri,Mountain,Western,Veterinary Health Service Program,Farm and Food Security,161.0
Myagdi,Dhawalagiri,Hill,Western,Non-formal Education & National Literacy Campaign,Education,1810.05
Myagdi,Dhawalagiri,Hill,Western,School Sector Reform Program,Education,113498.0
Myagdi,Dhawalagiri,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",80362.0
Myagdi,Dhawalagiri,Hill,Western,Tuberculosis Control,"Health, Nutrition and Population",1781.0
Myagdi,Dhawalagiri,Hill,Western,Ayurveda Service Program,"Health, Nutrition and Population",3835.0
Myagdi,Dhawalagiri,Hill,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",4200.0
Myagdi,Dhawalagiri,Hill,Western,National Training Program,"Health, Nutrition and Population",140.0
Myagdi,Dhawalagiri,Hill,Western,National Forest Development & Management Program,Forest and Land Conservation,3030.0
Myagdi,Dhawalagiri,Hill,Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,8860.0
Myagdi,Dhawalagiri,Hill,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,265.0
Myagdi,Dhawalagiri,Hill,Western,District Soil Erosion Program,Forest and Land Conservation,6348.0
Myagdi,Dhawalagiri,Hill,Western,Community Development and Forest-Watershed Protection Project,Forest and Land Conservation,7301.0
Myagdi,Dhawalagiri,Hill,Western,Agricultural Extension Program,Farm and Food Security,18700.0
Myagdi,Dhawalagiri,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,1305.0
Myagdi,Dhawalagiri,Hill,Western,Soil Test Service Program,Farm and Food Security,1325.0
Myagdi,Dhawalagiri,Hill,Western,Fishery Development Program,Farm and Food Security,255.0
Myagdi,Dhawalagiri,Hill,Western,Crop Development Program,Farm and Food Security,1197.0
Myagdi,Dhawalagiri,Hill,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1740.0
Myagdi,Dhawalagiri,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6385.0
Myagdi,Dhawalagiri,Hill,Western,Horiculture Development Program,Farm and Food Security,4522.0
Myagdi,Dhawalagiri,Hill,Western,Livestock Service Extension Program,Farm and Food Security,17232.0
Myagdi,Dhawalagiri,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1200.0
Myagdi,Dhawalagiri,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1110.0
Myagdi,Dhawalagiri,Hill,Western,Veterinary Health Service Program,Farm and Food Security,291.0
Nawalparasi,Lumbini,Terai,Western,Non-formal Education & National Literacy Campaign,Education,15776.84
Nawalparasi,Lumbini,Terai,Western,School Sector Reform Program,Education,299131.0
Nawalparasi,Lumbini,Terai,Western,Integrated District Health Program,"Health, Nutrition and Population",96547.0
Nawalparasi,Lumbini,Terai,Western,Tuberculosis Control,"Health, Nutrition and Population",2307.0
Nawalparasi,Lumbini,Terai,Western,Ayurveda Service Program,"Health, Nutrition and Population",3035.0
Nawalparasi,Lumbini,Terai,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",5900.0
Nawalparasi,Lumbini,Terai,Western,National Training Program,"Health, Nutrition and Population",150.0
Nawalparasi,Lumbini,Terai,Western,National Forest Development & Management Program,Forest and Land Conservation,3571.0
Nawalparasi,Lumbini,Terai,Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,443.0
Nawalparasi,Lumbini,Terai,Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,26530.0
Nawalparasi,Lumbini,Terai,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,432.0
Nawalparasi,Lumbini,Terai,Western,District Soil Erosion Program,Forest and Land Conservation,7882.0
Nawalparasi,Lumbini,Terai,Western,Agricultural Extension Program,Farm and Food Security,21200.0
Nawalparasi,Lumbini,Terai,Western,Integrated Water Resource Management Project,Farm and Food Security,1825.0
Nawalparasi,Lumbini,Terai,Western,Fishery Development Program,Farm and Food Security,1590.0
Nawalparasi,Lumbini,Terai,Western,Crop Development Program,Farm and Food Security,3771.0
Nawalparasi,Lumbini,Terai,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3948.0
Nawalparasi,Lumbini,Terai,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,5500.0
Nawalparasi,Lumbini,Terai,Western,Horiculture Development Program,Farm and Food Security,977.0
Nawalparasi,Lumbini,Terai,Western,Livestock Service Extension Program,Farm and Food Security,17734.0
Nawalparasi,Lumbini,Terai,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1750.0
Nawalparasi,Lumbini,Terai,Western,Community Livestock Development Project,Farm and Food Security,3548.0
Nawalparasi,Lumbini,Terai,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3878.0
Nawalparasi,Lumbini,Terai,Western,Veterinary Health Service Program,Farm and Food Security,320.0
Nuwakot,Bagmati,Hill,Central,Non-formal Education & National Literacy Campaign,Education,17009.74
Nuwakot,Bagmati,Hill,Central,School Sector Reform Program,Education,222120.0
Nuwakot,Bagmati,Hill,Central,Integrated District Health Program,"Health, Nutrition and Population",78301.0
Nuwakot,Bagmati,Hill,Central,Tuberculosis Control,"Health, Nutrition and Population",2008.0
Nuwakot,Bagmati,Hill,Central,Ayurveda Service Program,"Health, Nutrition and Population",5535.0
Nuwakot,Bagmati,Hill,Central,National Health Education Information & Communication Service,"Health, Nutrition and Population",4300.0
Nuwakot,Bagmati,Hill,Central,National Training Program,"Health, Nutrition and Population",150.0
Nuwakot,Bagmati,Hill,Central,National Forest Development & Management Program,Forest and Land Conservation,1450.0
Nuwakot,Bagmati,Hill,Central,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,4025.0
Nuwakot,Bagmati,Hill,Central,District Soil Erosion Program,Forest and Land Conservation,12463.0
Nuwakot,Bagmati,Hill,Central,Agricultural Extension Program,Farm and Food Security,19300.0
Nuwakot,Bagmati,Hill,Central,Soil Test Service Program,Farm and Food Security,2385.0
Nuwakot,Bagmati,Hill,Central,Fishery Development Program,Farm and Food Security,1215.0
Nuwakot,Bagmati,Hill,Central,Crop Development Program,Farm and Food Security,1410.0
Nuwakot,Bagmati,Hill,Central,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1063.0
Nuwakot,Bagmati,Hill,Central,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,9502.0
Nuwakot,Bagmati,Hill,Central,Horiculture Development Program,Farm and Food Security,14861.0
Nuwakot,Bagmati,Hill,Central,Livestock Service Extension Program,Farm and Food Security,20788.0
Nuwakot,Bagmati,Hill,Central,Livestock and Bird's Market Promotion Program,Farm and Food Security,1200.0
Nuwakot,Bagmati,Hill,Central,Livestock Development Farms,Farm and Food Security,10157.0
Nuwakot,Bagmati,Hill,Central,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,3060.0
Nuwakot,Bagmati,Hill,Central,Veterinary Health Service Program,Farm and Food Security,358.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Non-formal Education & National Literacy Campaign,Education,1949.06
Okhaldhunga,Sagarmatha,Hill,Eastern,School Sector Reform Program,Education,146656.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Integrated District Health Program,"Health, Nutrition and Population",129495.3
Okhaldhunga,Sagarmatha,Hill,Eastern,Tuberculosis Control,"Health, Nutrition and Population",1912.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",2865.0
Okhaldhunga,Sagarmatha,Hill,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Okhaldhunga,Sagarmatha,Hill,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Okhaldhunga,Sagarmatha,Hill,Eastern,National Forest Development & Management Program,Forest and Land Conservation,320.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2578.3
Okhaldhunga,Sagarmatha,Hill,Eastern,Multi Stakeholders Forestry Program,Forest and Land Conservation,12448.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,532.0
Okhaldhunga,Sagarmatha,Hill,Eastern,District Soil Erosion Program,Forest and Land Conservation,9102.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Agricultural Extension Program,Farm and Food Security,18600.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Soil Test Service Program,Farm and Food Security,1325.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Crop Development Program,Farm and Food Security,1113.0
Okhaldhunga,Sagarmatha,Hill,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1828.0
Okhaldhunga,Sagarmatha,Hill,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,13607.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Livestock Service Extension Program,Farm and Food Security,15762.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,300.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,912.0
Okhaldhunga,Sagarmatha,Hill,Eastern,Veterinary Health Service Program,Farm and Food Security,291.0
Palpa,Lumbini,Hill,Western,Non-formal Education & National Literacy Campaign,Education,2406.21
Palpa,Lumbini,Hill,Western,School Sector Reform Program,Education,213797.0
Palpa,Lumbini,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",93543.0
